school_year,dbn,school_name,report_type,avg_metric_score,n_metric_rows
2018,03M180,P.S. 180 Hugo Newman,EMS,2.1564,25
2018,03M191,The Riverside School for Makers and Artists,EMS,2.7364,25
2018,03M199,P.S. 199 Jessie Isador Straus,EMS,4.048461538461538,13
2018,03M241,STEM Institute of Manhattan,EMS,2.6075,20
2018,03M242,P.S. 242 - The Young Diplomats Magnet Academy,EMS,2.06875,16
2018,03M243,M.S. 243 Center School,EMS,4.571875,16
2018,03M245,M.S. M245 The Computer School,EMS,4.32125,16
2018,03M247,M.S. M247 Dual Language Middle School,EMS,3.5317391304347825,23
2018,03M250,M.S. 250 West Side Collaborative Middle School,EMS,2.3945,20
2018,03M256,Lafayette Academy,EMS,3.8460869565217393,23
2018,03M258,Community Action School - MS 258,EMS,3.563181818181818,22
2018,03M291,West End Secondary School,EMS,4.428888888888888,18
2018,03M299,The Maxine Greene HS for Imaginative Inquiry,HS,2.5212903225806453,31
2018,03M307,"Urban Assembly School for Media Studies, The",HS,3.352333333333333,30
2017,03M009,P.S. 009 Sarah Anderson,EMS,3.728181818181818,11
2018,03M333,P.S. 333 Manhattan School for Children,EMS,3.6794444444444445,18
2017,03M054,J.H.S. 054 Booker T. Washington,EMS,4.035,14
2018,03M334,The Anderson School,EMS,4.574375,16
2018,03M402,The Urban Assembly School for Green Careers,HS,3.4761290322580645,31
2018,03M403,The Global Learning Collaborative,HS,2.919,30
2018,03M404,Innovation Diploma Plus,HST,3.4804166666666667,24
2018,03M415,Wadleigh Secondary School for the Performing & Vis,EMS,3.7914285714285714,21
2018,03M415,Wadleigh Secondary School for the Performing & Vis,HS,3.0486666666666666,30
2016,75K231,P.S. K231,D75,3.6999999999999997,3
2018,03M417,Frank McCourt High School,HS,3.8048,25
2018,03M421,West Prep Academy,EMS,3.816666666666667,24
2018,03M452,P.S. 452,EMS,3.226363636363636,11
2018,03M479,Beacon High School,HS,4.062380952380953,21
2018,03M485,Fiorello H. LaGuardia High School of Music & Art a,HS,4.4975,24
2018,03M492,"High School for Law, Advocacy and Community Justic",HS,2.71,30
2018,03M494,High School of Arts and Technology,HS,2.769,30
2018,03M505,Edward A. Reynolds West Side High School,HST,2.165185185185185,27
