dbn,school_name,borough,report_type,avg_metric_score,n_metric_rows
11X076,P.S. 076 The Bennington School,Bronx,EMS,2.4052272727272728,132
11X078,P.S. 078 Anne Hutchinson,Bronx,EMS,2.5444262295081965,122
11X087,P.S. 087 Bronx,Bronx,EMS,2.7390909090909092,110
11X089,P.S. 089 Bronx,Bronx,EMS,3.067142857142857,182
11X096,P.S. 096 Richard Rodgers,Bronx,EMS,3.2120472440944883,127
11X097,P.S. 097 Bronx,Bronx,EMS,2.8055084745762713,118
11X103,P.S. 103 Hector Fontanez,Bronx,EMS,2.558333333333333,132
11X105,P.S. 105 Sen Abraham Bernstein,Bronx,EMS,2.9695454545454547,132
11X265,Bronx Lab School,Bronx,HS,2.9419875776397517,161
11X106,P.S. 106 Parkchester,Bronx,EMS,2.787851851851852,135
11X108,P.S. 108 Philip J. Abinanti,Bronx,EMS,3.4246296296296297,108
11X111,P.S. 111 Seton Falls,Bronx,EMS,2.4323333333333332,120
11X112,P.S. 112 Bronxwood,Bronx,EMS,2.4765853658536585,123
11X121,P.S. 121 Throop,Bronx,EMS,2.199,120
11X127,J.H.S. 127 The Castle Hill,Bronx,EMS,3.0123076923076924,182
11X144,J.H.S. 144 Michelangelo,Bronx,EMS,3.403583815028902,173
11X153,P.S. 153 Helen Keller,Bronx,EMS,3.002061855670103,97
11X160,P.S. 160 Walt Disney,Bronx,EMS,2.900093457943925,107
11X169,Baychester Academy,Bronx,EMS,3.711182795698925,93
11X175,P.S. 175 City Island,Bronx,EMS,2.751287878787879,132
11X178,P.S. 178 - Dr. Selman Waksman,Bronx,EMS,2.665982905982906,117
11X180,M.S. 180 Dr. Daniel Hale Williams,Bronx,EMS,3.0544230769230767,156
11X181,I.S. 181 Pablo Casals,Bronx,EMS,3.7882456140350875,171
11X189,Cornerstone Academy for Social Action,Bronx,EMS,2.615675675675676,111
11X194,P.S./M.S. 194,Bronx,EMS,2.8124293785310734,177
11X249,Bronx Health Sciences High School,Bronx,HS,3.8062721893491123,169
11X253,Bronx High School for Writing and Communication Arts,Bronx,HS,2.7316666666666665,168
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Bronx,HS,3.0013020833333335,192
11X275,High School of Computers and Technology,Bronx,HS,3.2389690721649487,194
11X544,High School for Contemporary Arts,Bronx,HS,2.94510101010101,198
11X287,North Bronx School of Empowerment,Bronx,EMS,2.339943820224719,178
29Q295,P.S./I.S. 295,Queens,EMS,3.3009638554216867,166
11X288,Collegiate Institute for Math and Science,Bronx,HS,3.34344262295082,183
11X290,Bronx Academy of Health Careers,Bronx,HS,3.2281538461538464,195
11X299,Astor Collegiate Academy,Bronx,HS,2.6852820512820514,195
12X248,"Metropolitan High School, The",Bronx,HS,2.468762886597938,194
11X326,Bronx Green Middle School,Bronx,EMS,3.025934065934066,182
11X355,Bronx Alliance Middle School,Bronx,EMS,2.7963975155279504,161
11X357,Young Voices Academy of the Bronx,Bronx,EMS,2.663114754098361,61
11X370,Leaders of Tomorrow,Bronx,EMS,2.682290502793296,179
11X417,C Columbus Hs Yabc,Bronx,YABC,3.386705882352941,85
11X418,Bronx High School for the Visual Arts,Bronx,HS,2.7874871794871794,195
11X455,Harry S Truman High School,Bronx,HS,3.0551776649746194,197
11X462,Cornerstone Academy for Social Action Middle School (CASA),Bronx,EMS,2.8535616438356164,146
11X468,Pelham Academy of Academics and Community Engagement,Bronx,EMS,3.116904761904762,168
11X481,The STEAM Bridge School,Bronx,EC,3.006666666666667,6
11X483,The Matilda Avenue School,Bronx,EC,1.982,5
11X498,P.S./M.S. 11X498 - Van Nest Academy,Bronx,EMS,3.37527950310559,161
11X508,Bronxdale High School,Bronx,HS,2.8354450261780104,191
11X509,High School of Language and Innovation,Bronx,HS,3.4573262032085563,187
11X513,New World High School,Bronx,HS,4.026269430051814,193
11X514,The Bronxwood Preparatory Academy,Bronx,HS,3.0291709844559587,193
11X529,One World Middle School at Edenwald,Bronx,EMS,3.5146341463414634,164
11X532,Baychester Middle School,Bronx,EMS,2.742424242424242,165
11X542,Pelham Preparatory Academy,Bronx,HS,3.541243523316062,193
11X545,Bronx Aerospace High School,Bronx,HS,2.97875,192
11X556,Bronx Park Middle School,Bronx,EMS,3.0060893854748603,179
11X566,Pelham Gardens Middle School,Bronx,EMS,3.1604678362573098,171
11X567,Linden Tree Elementary School,Bronx,EMS,2.504512195121951,82
12X006,P.S. 006 West Farms,Bronx,EMS,2.4274999999999998,132
12X044,P.S. 044 David C. Farragut,Bronx,EMS,2.976605504587156,109
12X047,P.S. 047 John Randolph,Bronx,EMS,2.3938028169014083,142
12X057,P.S. 057 Crescent,Bronx,EMS,2.435766423357664,137
12X061,P.S. 061 Francisco Oller,Bronx,EMS,2.79,113
12X066,P.S. 066 School of Higher Expectations,Bronx,EMS,3.0907971014492754,138
12X067,P.S. 067 Mohegan School,Bronx,EMS,3.456218487394958,119
12X098,J.H.S. 098 Herman Ridder,Bronx,EMS,3.0424285714285713,140
12X129,M.S. 129 Academy for Independent Learning and Leadership,Bronx,EMS,3.885573770491803,183
