dbn,school_name,school_type,avg_metric_score,n_metric_rows
09X323,Bronx Writing Academy,Middle,3.093224043715847,183
09X324,Bronx Early College Academy for Teaching & Learning,Middle,2.764478527607362,163
09X324,Bronx Early College Academy for Teaching & Learning,High School,3.6734920634920636,189
09X327,Comprehensive Model School Project M.S. 327,Middle,3.6658192090395483,177
09X327,Comprehensive Model School Project M.S. 327,High School,3.1210734463276837,177
09X328,New Millennium Bronx Academy of the Arts,Middle,2.928820224719101,178
09X329,DreamYard Preparatory School,High School,3.1075634517766497,197
09X350,New Directions Secondary School,Middle,1.9056190476190475,105
09X361,The Highbridge Green School,Middle,3.278820224719101,178
09X365,Academy for Language and Technology,High School,4.499274611398964,193
09X403,Bronx International High School,High School,3.6694805194805196,154
09X404,School for Excellence,High School,2.717058823529412,170
09X412,Bronx High School of Business,High School,2.5269035532994923,197
09X413,Bronx High School for Medical Science,Middle,3.494090909090909,154
09X413,Bronx High School for Medical Science,High School,3.1892857142857145,182
09X454,Science and Technology Academy: A Mott Hall School,Middle,4.2584153005464485,183
09X505,"Bronx School for Law, Government and Justice",Middle,3.4614367816091955,174
09X505,"Bronx School for Law, Government and Justice",High School,2.9682631578947367,190
09X517,Frederick Douglass Academy III Secondary School,High School,3.2315736040609138,197
09X525,Bronx Leadership Academy High School,High School,2.6688059701492537,201
09X543,High School for Violin and Dance,High School,2.6578534031413614,191
09X564,Claremont International HS,High School,3.4192763157894737,152
09X568,Young Women's Leadership School of the Bronx,Middle,3.160902777777778,144
09X568,Young Women's Leadership School of the Bronx,High School,3.4673684210526314,114
10X045,Thomas C. Giordano Middle School 45,Middle,2.897955801104972,181
10X080,J.H.S. 080 The Mosholu Parkway,Middle,3.3866120218579234,183
10X118,J.H.S. 118 William W. Niles,Middle,2.732896174863388,183
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),Middle,3.070759493670886,158
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),High School,3.4833684210526314,190
10X206,I.S. 206 Ann Mersereau,Middle,3.0326285714285715,175
10X213,Bronx Engineering and Technology Academy,High School,2.8924747474747474,198
10X225,Theatre Arts Production Company School,Middle,3.2322297297297298,148
10X225,Theatre Arts Production Company School,High School,2.7604188481675394,191
10X228,Jonas Bronck Academy,Middle,3.267639751552795,161
10X237,"The Marie Curie High School for Medicine, Nursing, and Health Professions",High School,2.5164583333333335,192
10X243,West Bronx Academy for the Future,Middle,2.5798907103825135,183
10X243,West Bronx Academy for the Future,High School,3.2245641025641025,195
10X244,The New School for Leadership and Journalism,Middle,3.8526519337016576,181
10X254,I.S. 254,Middle,3.1488524590163935,183
10X264,Bronx Academy for Software Engineering (BASE),High School,2.9946987951807227,166
10X268,Kingsbridge International High School,High School,2.27752688172043,186
10X284,Bronx School of Law and Finance,High School,2.899597989949749,199
10X308,Bronx Dance Academy School,Middle,3.8544444444444443,171
10X331,The Bronx School of Young Leaders,Middle,3.0053757225433526,173
10X342,International School for Liberal Arts,Middle,3.69317880794702,151
10X342,International School for Liberal Arts,High School,2.682319587628866,194
10X351,Bronx Collaborative High School,High School,2.7960992907801416,141
10X353,World View High School,High School,4.11906432748538,171
10X363,Academy For Personal Leadership And Excellence,Middle,3.1772677595628416,183
10X368,In-Tech Academy (M.S. / High School 368),Middle,2.8796045197740114,177
10X368,In-Tech Academy (M.S. / High School 368),High School,3.217857142857143,196
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),High School,3.9226903553299493,197
10X390,M.S. 390,Middle,3.0833333333333335,177
10X391,The Angelo Patri Middle School,Middle,2.6923497267759564,183
10X433,High School for Teaching and the Professions,High School,3.155707070707071,198
10X434,Belmont Preparatory High School,High School,3.578941798941799,189
10X437,Fordham High School for the Arts,High School,4.211720430107527,186
10X438,Fordham Leadership Academy,High School,3.440502512562814,199
10X439,Bronx High School for Law and Community Service,High School,3.860964467005076,197
10X440,DeWitt Clinton High School,High School,2.835323383084577,201
10X442,"Celia Cruz Bronx High School of Music, The",High School,3.9388172043010754,186
10X445,The Bronx High School of Science,High School,4.789,160
10X447,Creston Academy,Middle,3.705142857142857,175
10X459,East Fordham Academy for the Arts,Middle,2.5387962962962964,108
10X477,Marble Hill High School for International Studies,High School,4.452886597938145,194
10X524,Crotona International High School,High School,3.111948051948052,154
10X546,Bronx Theatre High School,High School,2.883937823834197,193
10X549,Discovery High School,High School,4.031557788944724,199
10X565,High School for Energy and Technology,High School,3.2804918032786885,183
10X696,High School of American Studies at Lehman College,High School,4.80171974522293,157
11X265,Bronx Lab School,High School,2.9419875776397517,161
11X127,J.H.S. 127 The Castle Hill,Middle,3.0123076923076924,182
11X144,J.H.S. 144 Michelangelo,Middle,3.403583815028902,173
11X180,M.S. 180 Dr. Daniel Hale Williams,Middle,3.0544230769230767,156
11X181,I.S. 181 Pablo Casals,Middle,3.7882456140350875,171
11X249,Bronx Health Sciences High School,High School,3.8062721893491123,169
11X253,Bronx High School for Writing and Communication Arts,High School,2.7316666666666665,168
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,High School,3.0013020833333335,192
11X275,High School of Computers and Technology,High School,3.2389690721649487,194
11X544,High School for Contemporary Arts,High School,2.94510101010101,198
11X287,North Bronx School of Empowerment,Middle,2.339943820224719,178
11X288,Collegiate Institute for Math and Science,High School,3.34344262295082,183
11X290,Bronx Academy of Health Careers,High School,3.2281538461538464,195
11X299,Astor Collegiate Academy,High School,2.6852820512820514,195
12X248,"Metropolitan High School, The",High School,2.468762886597938,194
11X326,Bronx Green Middle School,Middle,3.025934065934066,182
11X355,Bronx Alliance Middle School,Middle,2.7963975155279504,161
11X370,Leaders of Tomorrow,Middle,2.682290502793296,179
11X418,Bronx High School for the Visual Arts,High School,2.7874871794871794,195
11X455,Harry S Truman High School,High School,3.0551776649746194,197
11X462,Cornerstone Academy for Social Action Middle School (CASA),Middle,2.8535616438356164,146
11X468,Pelham Academy of Academics and Community Engagement,Middle,3.116904761904762,168
11X508,Bronxdale High School,High School,2.8354450261780104,191
11X509,High School of Language and Innovation,High School,3.4573262032085563,187
11X513,New World High School,High School,4.026269430051814,193
11X514,The Bronxwood Preparatory Academy,High School,3.0291709844559587,193
11X529,One World Middle School at Edenwald,Middle,3.5146341463414634,164
11X532,Baychester Middle School,Middle,2.742424242424242,165
11X542,Pelham Preparatory Academy,High School,3.541243523316062,193
11X545,Bronx Aerospace High School,High School,2.97875,192
11X556,Bronx Park Middle School,Middle,3.0060893854748603,179
11X566,Pelham Gardens Middle School,Middle,3.1604678362573098,171
12X098,J.H.S. 098 Herman Ridder,Middle,3.0424285714285713,140
12X129,M.S. 129 Academy for Independent Learning and Leadership,Middle,3.885573770491803,183
12X190,E.S.M.T- I.S. 190,Middle,3.1466666666666665,174
12X217,School of Performing Arts,Middle,2.7596629213483146,178
12X242,Mott Hall V,Middle,3.2271584699453553,183
12X242,Mott Hall V,High School,3.637179487179487,195
12X251,Explorations Academy H.S.,High School,3.0428282828282827,198
12X267,Bronx Latin,Middle,3.268685714285714,175
12X267,Bronx Latin,High School,4.0496464646464645,198
12X271,East Bronx Academy for the Future,Middle,2.998087431693989,183
12X271,East Bronx Academy for the Future,High School,3.1943434343434345,198
12X273,Frederick Douglass Academy V. Middle School,Middle,2.9838418079096045,177
12X286,Fannie Lou Hamer Middle School,Middle,2.5481714285714285,175
12X318,"I.S. X318 Math, Science & Technology Through Arts",Middle,2.6478571428571427,182
12X383,Emolior Academy,Middle,3.10731843575419,179
12X388,Pan American International High School at Monroe,High School,4.257701863354037,161
12X478,The Cinema School,High School,3.21,179
12X479,Bronx Career and College Preparatory High School,High School,1.9958247422680413,194
12X511,Bronx Envision Academy,High School,2.9094329896907216,194
12X521,The Metropolitan Soundview High School,High School,2.917113402061856,194
12X550,High School of World Cultures,High School,2.790748663101604,187
12X682,Fannie Lou Hamer Freedom High School,High School,3.4919254658385093,161
12X684,Wings Academy,High School,2.4219170984455958,193
13K113,M.S. 113 Ronald Edmonds Learning Center,Middle,2.6592857142857143,168
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Middle,2.9090350877192983,114
13K265,Dr. Susan S. McKinney Secondary School of the Arts,High School,2.2791052631578945,190
13K266,M.S. K266 - Park Place Community Middle School,Middle,2.9583333333333335,144
13K301,Restoration Academy,Middle,2.857701863354037,161
13K313,Dock Street School for STEAM Studies,Middle,3.2238926174496645,149
13K350,Urban Assembly School of Music and Art,High School,2.93468085106383,188
13K351,The Urban Assembly Unison School,Middle,2.8895705521472395,163
13K412,Brooklyn Community Arts & Media High School (BCAM),High School,3.0342487046632125,193
13K670,Benjamin Banneker Academy,High School,3.1186904761904763,168
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",High School,3.855260416666667,192
13K430,Brooklyn Technical High School,High School,4.492716049382716,162
13K439,Brooklyn International High School,High School,4.1247741935483875,155
13K483,The Urban Assembly School for Law and Justice,High School,3.7304232804232806,189
13K499,ACORN Community High School,High School,3.0505833333333334,120
13K527,Urban Assembly Institute of Math and Science for Young Women,Middle,3.014923076923077,130
13K527,Urban Assembly Institute of Math and Science for Young Women,High School,3.4071739130434784,184
13K594,Gotham Professional Arts Academy,High School,2.9842957746478875,142
13K595,Bedford Academy High School,High School,3.9685625,160
13K605,George Westinghouse Career and Technical Education High School,High School,2.6731088082901553,193
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",High School,2.876875,192
13K691,Fort Greene Preparatory Academy,Middle,2.779935064935065,154
31R049,I.S. 49 Berta A. Dreyfus,Middle,2.672295081967213,183
14K071,Juan Morel Campos Secondary School,Middle,3.176144578313253,166
14K071,Juan Morel Campos Secondary School,High School,2.668040201005025,199
14K126,John Ericsson Middle School 126,Middle,3.135639534883721,172
14K318,I.S. 318 Eugenio Maria De Hostos,Middle,2.9816564417177913,163
14K449,"Brooklyn Latin School, The",High School,4.390387096774194,155
14K454,The Williamsburg High School of Art and Technology,High School,3.32005076142132,197
14K474,PROGRESS High School for Professional Careers,High School,2.806716417910448,201
31R440,New Dorp High School,High School,2.820979381443299,194
14K477,East Williamsburg Scholars Academy,High School,2.7641,200
14K478,"The High School for Enterprise, Business and Technology",High School,3.0381,200
14K488,Brooklyn Preparatory High School,High School,3.2886387434554973,191
14K558,Williamsburg High School for Architecture and Design,High School,4.114659685863875,191
14K561,Williamsburg Preparatory School,High School,3.83734375,192
14K577,Conselyea Preparatory School,Middle,3.223648648648649,148
14K586,Lyons Community School,High School,2.579496855345912,159
14K610,A-Tech High School,High School,2.9655958549222796,193
14K614,Young Women's Leadership School of Brooklyn,Middle,2.7901652892561986,121
