dbn,school_name,borough,avg_metric_score,n_metric_rows
03M163,P.S. 163 Alfred E. Smith,Manhattan,3.1901960784313728,102
03M165,P.S. 165 Robert E. Simon,Manhattan,2.777785234899329,149
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,Manhattan,3.970506329113924,79
03M180,P.S. 180 Hugo Newman,Manhattan,2.488853503184713,157
03M191,The Riverside School for Makers and Artists,Manhattan,2.3358857142857143,175
03M199,P.S. 199 Jessie Isador Straus,Manhattan,3.9657142857142857,91
03M241,STEM Institute of Manhattan,Manhattan,2.6334615384615385,104
03M242,P.S. 242 - The Young Diplomats Magnet Academy,Manhattan,2.4543023255813954,86
03M243,M.S. 243 Center School,Manhattan,4.391101694915254,118
03M245,M.S. M245 The Computer School,Manhattan,4.259230769230769,130
03M247,M.S. M247 Dual Language Middle School,Manhattan,3.68527950310559,161
03M250,M.S. 250 West Side Collaborative Middle School,Manhattan,3.1129032258064515,93
03M256,Lafayette Academy,Manhattan,3.593717948717949,156
03M258,Community Action School - MS 258,Manhattan,3.503972602739726,146
03M291,West End Secondary School,Manhattan,4.3305232558139535,172
03M299,The Maxine Greene HS for Imaginative Inquiry,Manhattan,2.576363636363636,165
03M307,"Urban Assembly School for Media Studies, The",Manhattan,3.1571875,192
03M333,P.S. 333 Manhattan School for Children,Manhattan,3.3558823529411765,136
03M334,The Anderson School,Manhattan,4.556132075471698,106
03M402,The Urban Assembly School for Green Careers,Manhattan,3.03159793814433,194
03M403,The Global Learning Collaborative,Manhattan,2.9304545454545456,198
03M404,Innovation Diploma Plus,Manhattan,2.9504848484848485,165
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Manhattan,3.2633222591362125,301
03M417,Frank McCourt High School,Manhattan,3.577176470588235,170
03M421,West Prep Academy,Manhattan,3.5412048192771084,166
03M452,P.S. 452,Manhattan,3.7858666666666667,75
03M479,Beacon High School,Manhattan,4.100597014925373,134
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Manhattan,4.332926829268293,164
03M492,"High School for Law, Advocacy and Community Justice",Manhattan,2.736165803108808,193
03M494,High School of Arts and Technology,Manhattan,2.5127319587628865,194
03M505,Edward A. Reynolds West Side High School,Manhattan,2.45,131
03M541,Manhattan / Hunter Science High School,Manhattan,4.469085365853658,164
12X316,Kappa III,Bronx,3.369666666666667,180
03M610,Young Women's Leadership School,Manhattan,3.8075172413793106,290
04M007,P.S. 007 Samuel Stern,Manhattan,2.8509550561797754,178
03M859,Special Music School,Manhattan,4.330318181818182,220
03M860,Frederick Douglass Academy II Secondary School,Manhattan,3.1752380952380954,315
03M862,Mott Hall II,Manhattan,3.212364864864865,148
04M012,Tag Young Scholars,Manhattan,4.517964601769911,113
04M037,River East Elementary,Manhattan,2.751413043478261,92
04M038,P.S. 38 Roberto Clemente,Manhattan,2.586851851851852,108
04M057,James Weldon Johnson,Manhattan,2.6204419889502764,181
04M072,The Lexington Academy,Manhattan,2.3494082840236685,169
04M083,P.S. 083 Luis Munoz Rivera,Manhattan,3.545327868852459,122
04M096,P.S. 096 Joseph Lanzetta,Manhattan,2.5584745762711862,177
04M102,P.S. 102 Jacques Cartier,Manhattan,2.47411214953271,107
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,Manhattan,2.568826815642458,179
04M112,P.S. 112 Jose Celso Barbosa,Manhattan,2.51,14
04M146,P.S. 146 Ann M. Short,Manhattan,3.2928358208955224,134
04M155,P.S. 155 William Paca,Manhattan,2.4998387096774195,124
04M171,P.S. 171 Patrick Henry,Manhattan,4.043455882352942,136
04M182,The Bilingual Bicultural School,Manhattan,3.6370689655172415,116
04M224,M.S. 224 Manhattan East School for Arts & Academics,Manhattan,3.254567901234568,162
04M310,The Judith S. Kaye School,Manhattan,3.4290243902439026,82
04M372,Esperanza Preparatory Academy,Manhattan,3.312471590909091,352
04M375,Mosaic Preparatory Academy,Manhattan,3.0323076923076924,104
04M377,Renaissance School of the Arts,Manhattan,3.3404022988505746,174
04M435,Manhattan Center for Science and Mathematics,Manhattan,4.182732558139535,172
04M495,Park East High School,Manhattan,4.462810810810811,185
04M497,Central Park East I,Manhattan,2.488688524590164,61
04M555,Central Park East High School,Manhattan,4.419597701149425,174
04M680,"Heritage School, The",Manhattan,2.9503125,192
04M825,Isaac Newton Middle School for Math & Science,Manhattan,3.447093023255814,172
04M964,Central Park East II,Manhattan,2.4598319327731093,119
05M030,P.S. 030 Hernandez/Hughes,Manhattan,3.2070588235294117,102
05M036,P.S. 036 Margaret Douglas,Manhattan,2.9922400000000002,125
05M046,P.S. 046 Arthur Tappan,Manhattan,2.7846994535519127,183
05M092,P.S. 092 Mary McLeod Bethune,Manhattan,3.4681651376146787,109
05M123,P.S. 123 Mahalia Jackson,Manhattan,2.596057142857143,175
05M125,P.S. 125 Ralph Bunche,Manhattan,3.94,74
05M129,P.S. 129 John H. Finley,Manhattan,2.722148148148148,135
05M133,P.S. 133 Fred R Moore,Manhattan,3.3135922330097087,103
05M148,Eagle Academy for Young Men of Harlem,Manhattan,2.6970434782608694,230
05M154,P.S. 154 Harriet Tubman,Manhattan,2.9479130434782608,115
05M157,The Urban Assembly School for Global Commerce,Manhattan,2.4658024691358023,162
05M304,Mott Hall High School,Manhattan,2.738082901554404,193
05M161,P.S. 161 Pedro Albizu Campos,Manhattan,2.9559116022099445,181
05M175,P.S. 175 Henry H Garnet,Manhattan,3.002231404958678,121
05M194,P.S. 194 Countee Cullen,Manhattan,2.288448275862069,116
05M197,P.S. 197 John B. Russwurm,Manhattan,2.579230769230769,104
05M200,P.S. 200- The James McCune Smith School,Manhattan,2.6251470588235293,136
05M285,Harlem Renaissance High School,Manhattan,2.843825136612022,183
05M286,Urban Assembly Academy for Future Leaders,Manhattan,2.659736842105263,152
05M318,Thurgood Marshall Academy Lower School,Manhattan,2.6661363636363635,88
05M362,Columbia Secondary School,Manhattan,4.166996466431096,283
06M128,P.S. 128 Audubon,Manhattan,3.016230769230769,130
05M369,Urban Assembly School for the Performing Arts,Manhattan,2.951421052631579,190
05M499,Frederick Douglass Academy,Manhattan,2.488231884057971,345
05M514,New Design Middle School,Manhattan,2.4316216216216215,148
05M517,Teachers College Community School,Manhattan,2.7863725490196076,102
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,2.698562874251497,334
05M692,"High School for Mathematics, Science and Engineering at City College",Manhattan,4.5501875,160
06M004,P.S. 004 Duke Ellington,Manhattan,2.903550724637681,138
06M005,P.S. 005 Ellen Lurie,Manhattan,2.9327407407407406,135
06M008,P.S. 008 Luis Belliard,Manhattan,2.9954545454545456,132
06M018,P.S. 018 Park Terrace,Manhattan,2.642060606060606,165
06M028,P.S. 028 Wright Brothers,Manhattan,3.1407142857142856,140
06M048,P.S. 048 P.O. Michael J. Buczek,Manhattan,2.7952142857142857,140
06M052,Harold O. Levy School,Manhattan,3.2951807228915664,166
06M098,P.S. 098 Shorac Kappock,Manhattan,2.4904098360655738,122
06M103,Dos Puentes Elementary School,Manhattan,3.101408450704225,71
06M115,P.S. 115 Alexander Humboldt,Manhattan,2.78,132
06M132,P.S. 132 Juan Pablo Duarte,Manhattan,3.3001785714285714,112
06M223,The Mott Hall School,Manhattan,3.877593984962406,133
06M143,J.H.S. 143 Eleanor Roosevelt,Manhattan,3.0838414634146343,164
06M152,P.S. 152 Dyckman Valley,Manhattan,2.725563909774436,133
06M153,P.S. 153 Adam Clayton Powell,Manhattan,2.6762698412698414,126
06M173,P.S./I.S. 173 Fort Washington School in the Heights,Manhattan,2.8213513513513515,148
06M178,Professor Juan Bosch Public School,Manhattan,3.2401030927835053,97
06M187,P.S./I.S. 187 Hudson Cliffs,Manhattan,3.6507534246575344,146
06M189,P.S. 189,Manhattan,3.0853389830508475,118
06M192,P.S. 192 Jacob H. Schiff,Manhattan,3.2927358490566037,106
06M209,Hamilton Grange Middle School,Manhattan,3.244310344827586,174
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,Manhattan,3.687826086956522,161
06M211,Inwood Early College for Health and Information Technologies,Manhattan,3.026778523489933,149
06M278,Paula Hedbavny School,Manhattan,3.382573099415205,171
06M293,City College Magnet School of the Arts,Manhattan,3.6110526315789473,323
06M311,Amistad Dual Language School,Manhattan,3.4156287425149703,167
06M314,Muscota,Manhattan,4.019875,80
06M319,M.S. 319 - Maria Teresa,Manhattan,3.246810810810811,185
06M322,Middle School 322,Manhattan,3.2824858757062145,177
06M324,M.S. 324 - Patria Mirabal,Manhattan,3.6176666666666666,180
06M328,Community Math & Science Prep,Manhattan,3.011197604790419,167
06M346,Community Health Academy of the Heights,Manhattan,3.1666487935656837,373
06M348,Washington Heights Expeditionary Learning School,Manhattan,3.1233513513513516,370
06M349,Harbor Heights,Manhattan,3.4642857142857144,91
06M366,Washington Heights Academy,Manhattan,4.048802816901408,142
06M368,The William Lynch School,Manhattan,2.3668518518518518,108
06M423,High School for Excellence and Innovation,Manhattan,3.7813690476190476,168
06M457,George Washington Yabc,Manhattan,3.8026923076923076,78
06M462,The College Academy,Manhattan,3.3754545454545455,198
06M463,High School for Media and Communications,Manhattan,2.6253,200
06M467,High School for Law and Public Service,Manhattan,2.8261306532663317,199
06M468,High School for Health Careers and Sciences,Manhattan,2.9924,200
06M513,Castle Bridge School,Manhattan,3.1563333333333334,30
06M528,I.S. 528 Bea Fuller Rodgers School,Manhattan,3.5680116959064327,171
06M540,A. Philip Randolph Campus High School,Manhattan,2.4945918367346938,196
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,3.6969948186528496,193
07X001,P.S. 001 Courtlandt School,Bronx,2.3711029411764706,136
07X005,P.S. 5 Port Morris,Bronx,2.7969142857142857,175
07X018,P.S. 018 John Peter Zenger,Bronx,2.5004761904761903,126
07X025,P.S. 025 Bilingual School,Bronx,3.418880597014925,134
07X029,P.S./M.S. 029 Melrose School,Bronx,2.4646153846153847,182
07X030,P.S. 030 Wilton,Bronx,2.5455072463768116,138
07X031,P.S./M.S. 031 The William Lloyd Garrison,Bronx,2.6093296089385474,179
07X043,P.S. 043 Jonas Bronck,Bronx,3.1291338582677164,127
07X049,P.S. 049 Willis Avenue,Bronx,3.7696503496503495,143
07X065,P.S. 065 Mother Hale Academy,Bronx,3.0127906976744185,129
07X379,Jill Chaifetz Transfer High School,Bronx,2.631774193548387,186
07X151,J.H.S. 151 Lou Gehrig,Bronx,2.604257425742574,101
07X154,P.S. 154 Jonathan D. Hyatt,Bronx,3.47008547008547,117
07X157,P.S. 157 Grove Hill,Bronx,2.8484210526315787,133
07X161,P.S. 161 Juan Ponce De Leon School,Bronx,2.8464788732394366,142
07X179,P.S. 179,Bronx,2.890090909090909,110
07X221,South Bronx Preparatory: A College Board School,Bronx,3.8904359673024524,367
07X223,The Laboratory School of Finance and Technology: X223,Bronx,3.690875420875421,297
07X224,P.S./I.S. 224,Bronx,2.4933519553072627,179
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",Bronx,2.7757988165680474,169
07X277,P.S. 277,Bronx,2.9504166666666665,120
07X296,South Bronx Academy for Applied Media,Bronx,2.898100558659218,179
07X298,Academy of Public Relations,Bronx,2.8032386363636363,176
07X334,International Community High School,Bronx,3.440314465408805,159
07X343,Academy of Applied Mathematics and Technology,Bronx,3.8800564971751412,177
07X359,"Leaders of Excellence, Advocacy and Discovery",Bronx,4.352058823529412,68
07X369,Young Leaders Elementary School,Bronx,2.8299159663865545,119
07X381,Bronx Haven High School,Bronx,2.9804519774011298,177
07X427,Community School for Social Justice,Bronx,2.9103726708074533,161
07X456,Alfred E. Smith Campus YABC,Bronx,2.372872340425532,94
07X473,Mott Haven Village Preparatory High School,Bronx,2.32180412371134,194
07X495,University Heights Secondary School,Bronx,4.490902255639098,133
07X500,Hostos-Lincoln Academy of Science,Bronx,3.202274052478134,343
08X123,J.H.S. 123 James M. Kieran,Bronx,2.784331550802139,187
07X522,Bronx Design and Construction Academy,Bronx,2.3785416666666666,192
07X527,Bronx Leadership Academy II High School,Bronx,3.2903000000000002,200
07X548,Careers in Sports High School,Bronx,2.312030456852792,197
07X551,The Urban Assembly Bronx Academy of Letters,Bronx,2.8501612903225806,372
07X557,Mott Haven Community High School,Bronx,3.809619565217391,184
07X584,I.S. 584,Bronx,3.0223,100
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,3.284141414141414,198
07X670,Health Opportunities High School,Bronx,2.5572820512820513,195
08X014,P.S. X014 Senator John Calandra,Bronx,3.1521259842519687,127
08X036,P.S. 036 Unionport,Bronx,3.257794117647059,136
08X048,P.S. 048 Joseph R. Drake,Bronx,2.4873381294964028,139
08X062,P.S. 062 Inocensio Casanova,Bronx,2.9290140845070423,142
08X069,P.S. 069 Journey Prep School,Bronx,3.5125,128
08X071,P.S. 071 Rose E. Scala,Bronx,3.2767213114754097,183
08X072,P.S. 072 Dr. William Dorney,Bronx,3.1336363636363638,132
08X075,P.S. 75 School of Research and Discovery,Bronx,2.9962857142857144,140
08X093,P.S. 093 Albert G. Oliver,Bronx,2.5991379310344827,116
08X100,P.S. 100 Isaac Clason,Bronx,2.6312403100775192,129
08X101,M.S. X101 Edward R. Byrne,Bronx,3.552,155
08X107,P.S. 107,Bronx,3.092627737226277,137
08X119,The Dr. Emmett W. Bassett School,Bronx,2.9358139534883723,129
08X130,P.S. 130 Abram Stevens Hewitt,Bronx,3.0013533834586466,133
08X131,J.H.S. 131 Albert Einstein,Bronx,2.771129943502825,177
08X138,P.S. 138 Samuel Randall,Bronx,2.681640625,128
08X140,P.S. X140 The Eagle School,Bronx,2.6654014598540146,137
08X146,P.S. 146 Edward Collins,Bronx,2.9836842105263157,133
08X152,P.S. 152 Evergreen,Bronx,2.8027083333333334,144
08X182,P.S. 182,Bronx,2.5564462809917354,121
08X269,Bronx Studio School for Writers and Artists,Bronx,2.732679045092838,377
08X282,Women's Academy of Excellence,Bronx,2.6251612903225805,186
08X293,Renaissance High School for Musical Theater and the Arts,Bronx,3.17078125,192
08X301,M.S. 301 Paul L. Dunbar,Bronx,2.2779234972677593,183
08X302,M.S. 302 Luisa Dessus Cruz,Bronx,3.381803278688525,183
08X304,P.S. 304 Early Childhood School,Bronx,3.3740186915887853,107
08X312,Millennium Art Academy,Bronx,3.0728717948717947,195
08X320,Pelham Lab High School,Bronx,2.436923076923077,169
08X333,The Longwood Academy of Discovery,Bronx,2.5786524822695034,141
08X337,The School for Inquiry and Social Justice,Bronx,3.6133522727272727,176
08X348,Schuylerville Preparatory High School,Bronx,2.42207100591716,169
09X053,P.S. 053 Basheer Quisim,Bronx,3.2038194444444446,144
08X349,Bronx River High School,Bronx,3.4856140350877194,171
08X367,"Archimedes Academy for Math, Science and Technology Applications",Bronx,2.5794262295081967,366
08X371,Urban Institute of Mathematics,Bronx,3.4020118343195267,169
08X375,The Bronx Mathematics Preparatory School,Bronx,2.6905494505494505,182
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Bronx,2.9246994535519124,366
08X377,Bronx Community High School,Bronx,3.120115606936416,173
08X405,Herbert H. Lehman High School,Bronx,2.2125125628140703,199
08X408,Herbert H. Lehman Yabc,Bronx,3.085531914893617,94
08X424,Bronx Academy for Multi-Media,Bronx,3.131584699453552,183
08X432,Bronx Bridges High School,Bronx,3.0461421319796953,197
08X448,Soundview Academy for Culture and Scholarship,Bronx,2.995367231638418,177
08X452,Gotham Collaborative High School,Bronx,2.7806632653061225,196
08X467,Mott Hall Community School,Bronx,2.6387222222222224,180
08X507,Stevenson Yabc,Bronx,2.17375,88
08X530,Longwood Preparatory Academy,Bronx,3.032020202020202,198
08X537,Bronx Arena High School,Bronx,2.710542168674699,166
08X558,Westchester Square Academy,Bronx,2.992771739130435,184
08X559,School for Tourism and Hospitality,Bronx,2.1963392857142856,112
08X561,Bronx Compass High School,Bronx,2.4584239130434784,184
08X562,Pugsley Preparatory Academy,Bronx,2.961878453038674,181
08X583,P.S. 583,Bronx,2.9004761904761907,42
09X004,P.S./M.S. 004 Crotona Park West,Bronx,3.4965555555555556,180
09X011,P.S. 011 Highbridge,Bronx,2.6526811594202897,138
09X022,J.H.S. 022 Jordan L. Mott,Bronx,2.840457142857143,175
09X028,P.S. 028 Mount Hope,Bronx,2.9822535211267605,142
09X035,P.S. 035 Franz Siegel,Bronx,2.4993478260869564,138
09X042,P.S. 042 Claremont,Bronx,3.263,140
09X055,P.S. 055 Benjamin Franklin,Bronx,2.4772093023255812,129
09X058,P.S. 058,Bronx,2.757265625,128
09X063,P.S. 063 Author's Academy,Bronx,3.26036231884058,138
09X070,P.S. 070 Max Schoenfeld,Bronx,2.7084722222222224,144
09X073,P.S. 073 Bronx,Bronx,2.4671875,128
09X088,P.S. X088 - S. Silverstein Little Sparrow School,Bronx,3.1613636363636366,22
09X109,P.S. 109 Sedgwick,Bronx,2.4915555555555557,135
09X110,P.S. 110 Theodore Schoenfeld,Bronx,2.7703030303030305,132
