dbn,school_name,report_type,n_metrics_compared,n_metrics_below_avg,pct_metrics_below_avg,any_below_avg
22K203,P.S. 203 Floyd Bennett School,EMS,186,117,62.9,True
22K206,P.S. 206 Joseph F Lamb,EMS,221,133,60.2,True
22K207,P.S. 207 Elizabeth G. Leary,EMS,236,145,61.4,True
22K217,P.S. 217 Colonel David Marcus School,EMS,213,154,72.3,True
22K222,P.S. 222 Katherine R. Snyder,EMS,203,46,22.7,True
22K234,J.H.S. 234 Arthur W. Cunningham,EMS,243,119,49.0,True
22K240,Andries Hudde,EMS,229,152,66.4,True
22K251,P.S. 251 Paerdegat,EMS,164,134,81.7,True
22K254,P.S. 254 Dag Hammarskjold,EMS,172,45,26.2,True
22K255,P.S. 255 Barbara Reing School,EMS,188,95,50.5,True
22K277,P.S. 277 Gerritsen Beach,EMS,163,74,45.4,True
22K278,J.H.S. 278 Marine Park,EMS,235,150,63.8,True
22K312,P.S. 312 Bergen Beach,EMS,198,91,46.0,True
22K315,P.S. K315,EMS,209,115,55.0,True
22K361,P.S. 361 East Flatbush Early Childhood School,EMS,99,81,81.8,True
22K381,I. S. 381,EMS,223,104,46.6,True
22K405,Midwood High School,HS,363,210,57.9,True
22K535,Leon M. Goldstein High School for the Sciences,HS,336,137,40.8,True
22K555,Brooklyn College Academy,HS,275,54,19.6,True
23K150,P.S. 150 Christopher,EMS,134,115,85.8,True
22K611,Origins High School,HS,314,146,46.5,True
25Q379,College Point Collaborative,EMS,135,109,80.7,True
22K630,Professional Pathways High School,HST,206,66,32.0,True
26Q162,P.S. 162 John Golden,EMS,182,57,31.3,True
22K890,M.S. 890,EMS,164,84,51.2,True
23K041,P.S. 041 Francis White,EMS,160,108,67.5,True
23K137,P.S. 137 Rachel Jean Mitchell,EMS,159,100,62.9,True
23K155,P.S./ I.S. 155 Nicholas Herkimer,EMS,198,109,55.1,True
23K156,P.S. 156 Waverly,EMS,177,136,76.8,True
23K165,P.S. 165 Ida Posner,EMS,131,78,59.5,True
23K178,P.S. 178 Saint Clair Mckelway,EMS,199,137,68.8,True
23K184,P.S. 184 Newport,EMS,201,156,77.6,True
23K284,"The Gregory Jocko Jackson School of Sports, Art, and Technology",EMS,170,121,71.2,True
23K298,P.S. 298 Dr. Betty Shabazz,EMS,136,100,73.5,True
23K327,P.S. 327 Dr. Rose B. English,EMS,155,128,82.6,True
23K363,Brownsville Collaborative Middle School,EMS,179,89,49.7,True
23K392,I.S. 392,EMS,185,127,68.6,True
23K401,Christopher Avenue Community School,EMS,132,63,47.7,True
23K446,Riverdale Avenue Community School,EMS,149,70,47.0,True
23K493,Brooklyn Collegiate: A College Board School,HS,269,120,44.6,True
23K514,Frederick Douglass Academy VII High School,HS,246,112,45.5,True
23K518,Kappa V (Knowledge and Power Preparatory Academy),EMS,163,101,62.0,True
23K522,Mott Hall IV,EMS,178,115,64.6,True
23K599,Brooklyn Landmark Elementary School,EMS,143,16,11.2,True
23K643,Brooklyn Democracy Academy,HST,194,99,51.0,True
23K644,Eagle Academy for Young Men II,EMS,172,47,27.3,True
23K644,Eagle Academy for Young Men II,HS,247,92,37.2,True
23K647,Metropolitan Diploma Plus High School,HST,186,78,41.9,True
23K664,Brooklyn Environmental Exploration School (BEES),EMS,185,116,62.7,True
